ID,timepoint,subject,BOLD signal,ROI
,0.707070707,0,-0.71915732,IPS
,0.707070707,1,-1.646958468,IPS
,0.707070707,2,-1.017895096,IPS
,0.707070707,3,-0.417781676,IPS
,0.707070707,4,-2.127582652,IPS
,0.707070707,5,-1.306299771,IPS
,0.707070707,6,2.310144053,IPS
,0.707070707,7,-1.152421347,IPS
,0.707070707,8,0.314492272,IPS
,0.707070707,9,1.594562578,IPS
,0.707070707,10,1.378767937,IPS
,0.707070707,11,-1.545722557,IPS
,0.707070707,12,2.540830533,IPS
,0.707070707,13,3.597324318,IPS
,0.707070707,14,1.658749154,IPS
,0.707070707,15,-1.969288024,IPS
,0.707070707,16,2.084395717,IPS
,0.707070707,17,2.538835108,IPS
,0.707070707,18,0.075518293,IPS
,0.707070707,19,-2.13776206,IPS
,0.707070707,0,1.09972176,AG
,0.707070707,1,1.031508803,AG
,0.707070707,2,2.868596512,AG
,0.707070707,3,0.788465582,AG
,0.707070707,4,2.254447191,AG
,0.707070707,5,0.463484084,AG
,0.707070707,6,1.950611422,AG
,0.707070707,7,0.956837491,AG
,0.707070707,8,-0.303676809,AG
,0.707070707,9,-1.644405977,AG
,0.707070707,10,-1.033088273,AG
,0.707070707,11,0.987153166,AG
,0.707070707,12,0.136967902,AG
,0.707070707,13,-1.023199949,AG
,0.707070707,14,1.480169672,AG
,0.707070707,15,0.595935771,AG
,0.707070707,16,2.773552474,AG
,0.707070707,17,-0.419625178,AG
,0.707070707,18,0.966561687,AG
,0.707070707,19,1.44303171,AG
,0.707070707,0,1.819345429,V1
,0.707070707,1,0.256343205,V1
,0.707070707,2,1.945189794,V1
,0.707070707,3,3.507128568,V1
,0.707070707,4,2.485585883,V1
,0.707070707,5,-1.534900429,V1
,0.707070707,6,0.856119682,V1
,0.707070707,7,-1.049527096,V1
,0.707070707,8,2.483916672,V1
,0.707070707,9,-0.67446127,V1
,0.707070707,10,-0.34167819,V1
,0.707070707,11,2.907304804,V1
,0.707070707,12,2.991614251,V1
,0.707070707,13,-0.325808502,V1
,0.707070707,14,2.359584058,V1
,0.707070707,15,0.698344603,V1
,0.707070707,16,1.457149597,V1
,0.707070707,17,1.992954874,V1
,0.707070707,18,1.200508367,V1
,0.707070707,19,0.581521274,V1
,0.808080808,0,-0.941806661,IPS
,0.808080808,1,-1.86960781,IPS
,0.808080808,2,-1.240544437,IPS
,0.808080808,3,-0.640431018,IPS
,0.808080808,4,-2.350231994,IPS
,0.808080808,5,-1.528949113,IPS
,0.808080808,6,2.087494711,IPS
,0.808080808,7,-1.375070688,IPS
,0.808080808,8,0.09184293,IPS
,0.808080808,9,1.371913236,IPS
,0.808080808,10,1.156118595,IPS
,0.808080808,11,-1.768371899,IPS
,0.808080808,12,2.318181191,IPS
,0.808080808,13,3.374674976,IPS
,0.808080808,14,1.436099812,IPS
,0.808080808,15,-2.191937366,IPS
,0.808080808,16,1.861746375,IPS
,0.808080808,17,2.316185766,IPS
,0.808080808,18,-0.147131049,IPS
,0.808080808,19,-2.360411402,IPS
,0.808080808,0,1.127557707,AG
,0.808080808,1,1.05934475,AG
,0.808080808,2,2.896432459,AG
,0.808080808,3,0.816301529,AG
,0.808080808,4,2.282283139,AG
,0.808080808,5,0.491320031,AG
,0.808080808,6,1.97844737,AG
,0.808080808,7,0.984673438,AG
,0.808080808,8,-0.275840861,AG
,0.808080808,9,-1.61657003,AG
,0.808080808,10,-1.005252326,AG
,0.808080808,11,1.014989113,AG
,0.808080808,12,0.16480385,AG
,0.808080808,13,-0.995364002,AG
,0.808080808,14,1.50800562,AG
,0.808080808,15,0.623771718,AG
,0.808080808,16,2.801388421,AG
,0.808080808,17,-0.391789231,AG
,0.808080808,18,0.994397634,AG
,0.808080808,19,1.470867658,AG
,0.808080808,0,1.818477561,V1
,0.808080808,1,0.255475337,V1
,0.808080808,2,1.944321926,V1
,0.808080808,3,3.506260701,V1
,0.808080808,4,2.484718016,V1
,0.808080808,5,-1.535768297,V1
,0.808080808,6,0.855251814,V1
,0.808080808,7,-1.050394963,V1
,0.808080808,8,2.483048804,V1
,0.808080808,9,-0.675329137,V1
,0.808080808,10,-0.342546058,V1
,0.808080808,11,2.906436937,V1
,0.808080808,12,2.990746383,V1
,0.808080808,13,-0.326676369,V1
,0.808080808,14,2.35871619,V1
,0.808080808,15,0.697476735,V1
,0.808080808,16,1.45628173,V1
,0.808080808,17,1.992087006,V1
,0.808080808,18,1.1996405,V1
,0.808080808,19,0.580653407,V1
,0.909090909,0,-1.151402937,IPS
,0.909090909,1,-2.079204085,IPS
,0.909090909,2,-1.450140713,IPS
,0.909090909,3,-0.850027293,IPS
,0.909090909,4,-2.55982827,IPS
,0.909090909,5,-1.738545388,IPS
,0.909090909,6,1.877898436,IPS
,0.909090909,7,-1.584666964,IPS
,0.909090909,8,-0.117753345,IPS
,0.909090909,9,1.162316961,IPS
,0.909090909,10,0.94652232,IPS
,0.909090909,11,-1.977968174,IPS
,0.909090909,12,2.108584916,IPS
,0.909090909,13,3.165078701,IPS
,0.909090909,14,1.226503536,IPS
,0.909090909,15,-2.401533641,IPS
,0.909090909,16,1.6521501,IPS
,0.909090909,17,2.106589491,IPS
,0.909090909,18,-0.356727324,IPS
,0.909090909,19,-2.570007677,IPS
,0.909090909,0,1.163027195,AG
,0.909090909,1,1.094814238,AG
,0.909090909,2,2.931901947,AG
,0.909090909,3,0.851771017,AG
,0.909090909,4,2.317752627,AG
,0.909090909,5,0.526789519,AG
,0.909090909,6,2.013916858,AG
,0.909090909,7,1.020142926,AG
,0.909090909,8,-0.240371373,AG
,0.909090909,9,-1.581100542,AG
,0.909090909,10,-0.969782838,AG
,0.909090909,11,1.050458601,AG
,0.909090909,12,0.200273338,AG
,0.909090909,13,-0.959894514,AG
,0.909090909,14,1.543475108,AG
,0.909090909,15,0.659241206,AG
,0.909090909,16,2.836857909,AG
,0.909090909,17,-0.356319743,AG
,0.909090909,18,1.029867122,AG
,0.909090909,19,1.506337146,AG
,0.909090909,0,1.817042593,V1
,0.909090909,1,0.25404037,V1
,0.909090909,2,1.942886959,V1
,0.909090909,3,3.504825733,V1
,0.909090909,4,2.483283048,V1
,0.909090909,5,-1.537203264,V1
,0.909090909,6,0.853816847,V1
,0.909090909,7,-1.051829931,V1
,0.909090909,8,2.481613836,V1
,0.909090909,9,-0.676764105,V1
,0.909090909,10,-0.343981026,V1
,0.909090909,11,2.905001969,V1
,0.909090909,12,2.989311415,V1
,0.909090909,13,-0.328111337,V1
,0.909090909,14,2.357281222,V1
,0.909090909,15,0.696041767,V1
,0.909090909,16,1.454846762,V1
,0.909090909,17,1.990652038,V1
,0.909090909,18,1.198205532,V1
,0.909090909,19,0.579218439,V1
,1.01010101,0,-1.344449724,IPS
,1.01010101,1,-2.272250872,IPS
,1.01010101,2,-1.6431875,IPS
,1.01010101,3,-1.043074081,IPS
,1.01010101,4,-2.752875057,IPS
,1.01010101,5,-1.931592175,IPS
,1.01010101,6,1.684851649,IPS
,1.01010101,7,-1.777713751,IPS
,1.01010101,8,-0.310800132,IPS
,1.01010101,9,0.969270174,IPS
,1.01010101,10,0.753475533,IPS
,1.01010101,11,-2.171014961,IPS
,1.01010101,12,1.915538129,IPS
,1.01010101,13,2.972031914,IPS
,1.01010101,14,1.033456749,IPS
,1.01010101,15,-2.594580428,IPS
,1.01010101,16,1.459103313,IPS
,1.01010101,17,1.913542704,IPS
,1.01010101,18,-0.549774111,IPS
,1.01010101,19,-2.763054464,IPS
,1.01010101,0,1.20633618,AG
,1.01010101,1,1.138123223,AG
,1.01010101,2,2.975210932,AG
,1.01010101,3,0.895080002,AG
,1.01010101,4,2.361061612,AG
,1.01010101,5,0.570098504,AG
,1.01010101,6,2.057225843,AG
,1.01010101,7,1.063451911,AG
,1.01010101,8,-0.197062388,AG
,1.01010101,9,-1.537791557,AG
,1.01010101,10,-0.926473853,AG
,1.01010101,11,1.093767586,AG
,1.01010101,12,0.243582323,AG
,1.01010101,13,-0.916585529,AG
,1.01010101,14,1.586784093,AG
,1.01010101,15,0.702550191,AG
,1.01010101,16,2.880166894,AG
,1.01010101,17,-0.313010758,AG
,1.01010101,18,1.073176107,AG
,1.01010101,19,1.549646131,AG
,1.01010101,0,1.814828737,V1
,1.01010101,1,0.251826513,V1
,1.01010101,2,1.940673102,V1
,1.01010101,3,3.502611876,V1
,1.01010101,4,2.481069191,V1
,1.01010101,5,-1.539417121,V1
,1.01010101,6,0.85160299,V1
,1.01010101,7,-1.054043788,V1
,1.01010101,8,2.47939998,V1
,1.01010101,9,-0.678977962,V1
,1.01010101,10,-0.346194882,V1
,1.01010101,11,2.902788112,V1
,1.01010101,12,2.987097559,V1
,1.01010101,13,-0.330325194,V1
,1.01010101,14,2.355067366,V1
,1.01010101,15,0.693827911,V1
,1.01010101,16,1.452632905,V1
,1.01010101,17,1.988438182,V1
,1.01010101,18,1.195991675,V1
,1.01010101,19,0.577004582,V1
,1.111111111,0,-1.518622378,IPS
,1.111111111,1,-2.446423526,IPS
,1.111111111,2,-1.817360154,IPS
,1.111111111,3,-1.217246734,IPS
,1.111111111,4,-2.92704771,IPS
,1.111111111,5,-2.105764829,IPS
,1.111111111,6,1.510678995,IPS
,1.111111111,7,-1.951886405,IPS
,1.111111111,8,-0.484972786,IPS
,1.111111111,9,0.79509752,IPS
,1.111111111,10,0.579302879,IPS
,1.111111111,11,-2.345187615,IPS
,1.111111111,12,1.741365475,IPS
,1.111111111,13,2.79785926,IPS
,1.111111111,14,0.859284096,IPS
,1.111111111,15,-2.768753082,IPS
,1.111111111,16,1.284930659,IPS
,1.111111111,17,1.73937005,IPS
,1.111111111,18,-0.723946765,IPS
,1.111111111,19,-2.937227118,IPS
,1.111111111,0,1.257428271,AG
,1.111111111,1,1.189215315,AG
,1.111111111,2,3.026303024,AG
,1.111111111,3,0.946172093,AG
,1.111111111,4,2.412153703,AG
,1.111111111,5,0.621190596,AG
,1.111111111,6,2.108317934,AG
,1.111111111,7,1.114544002,AG
,1.111111111,8,-0.145970297,AG
,1.111111111,9,-1.486699466,AG
,1.111111111,10,-0.875381762,AG
,1.111111111,11,1.144859678,AG
,1.111111111,12,0.294674414,AG
,1.111111111,13,-0.865493437,AG
,1.111111111,14,1.637876184,AG
,1.111111111,15,0.753642283,AG
,1.111111111,16,2.931258986,AG
,1.111111111,17,-0.261918666,AG
,1.111111111,18,1.124268198,AG
,1.111111111,19,1.600738222,AG
,1.111111111,0,1.81159796,V1
,1.111111111,1,0.248595736,V1
,1.111111111,2,1.937442325,V1
,1.111111111,3,3.4993811,V1
,1.111111111,4,2.477838415,V1
,1.111111111,5,-1.542647898,V1
,1.111111111,6,0.848372213,V1
,1.111111111,7,-1.057274564,V1
,1.111111111,8,2.476169203,V1
,1.111111111,9,-0.682208738,V1
,1.111111111,10,-0.349425659,V1
,1.111111111,11,2.899557336,V1
,1.111111111,12,2.983866782,V1
,1.111111111,13,-0.333555971,V1
,1.111111111,14,2.351836589,V1
,1.111111111,15,0.690597134,V1
,1.111111111,16,1.449402128,V1
,1.111111111,17,1.985207405,V1
,1.111111111,18,1.192760899,V1
,1.111111111,19,0.573773806,V1
,1.212121212,0,-1.672538689,IPS
,1.212121212,1,-2.600339838,IPS
,1.212121212,2,-1.971276465,IPS
,1.212121212,3,-1.371163046,IPS
,1.212121212,4,-3.080964022,IPS
,1.212121212,5,-2.259681141,IPS
,1.212121212,6,1.356762684,IPS
,1.212121212,7,-2.105802716,IPS
,1.212121212,8,-0.638889097,IPS
,1.212121212,9,0.641181209,IPS
,1.212121212,10,0.425386567,IPS
,1.212121212,11,-2.499103927,IPS
,1.212121212,12,1.587449164,IPS
,1.212121212,13,2.643942949,IPS
,1.212121212,14,0.705367784,IPS
,1.212121212,15,-2.922669394,IPS
,1.212121212,16,1.131014348,IPS
,1.212121212,17,1.585453739,IPS
,1.212121212,18,-0.877863076,IPS
,1.212121212,19,-3.091143429,IPS
,1.212121212,0,1.31601177,AG
,1.212121212,1,1.247798814,AG
,1.212121212,2,3.084886523,AG
,1.212121212,3,1.004755592,AG
,1.212121212,4,2.470737202,AG
,1.212121212,5,0.679774095,AG
,1.212121212,6,2.166901433,AG
,1.212121212,7,1.173127501,AG
,1.212121212,8,-0.087386798,AG
,1.212121212,9,-1.428115967,AG
,1.212121212,10,-0.816798263,AG
,1.212121212,11,1.203443177,AG
,1.212121212,12,0.353257913,AG
,1.212121212,13,-0.806909938,AG
,1.212121212,14,1.696459683,AG
,1.212121212,15,0.812225782,AG
,1.212121212,16,2.989842485,AG
,1.212121212,17,-0.203335167,AG
,1.212121212,18,1.182851697,AG
,1.212121212,19,1.659321721,AG
